"filename", "language", "MSBuild", "C#", "CSS", "EditorConfig", "JSON", "HTML", "XML", "JavaScript", "SQL", "HTTP", "Solution File", "Log", "comment", "blank", "total"
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\PayPalAccessToken.cs", "C#", 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -12
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\Payment.cs", "C#", 0, -25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -27
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\Recommendations.cs", "C#", 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -22
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\Report.cs", "C#", 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -16
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\UserRecommendations.cs", "C#", 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -10
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Program.cs", "C#", 0, -125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -143
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, -41, 0, 0, 0, 0, 0, 0, 0, 0, -1, -42
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Services\AuctionStatusService.cs", "C#", 0, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -97
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Services\BiddingHub.cs", "C#", 0, -99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -110
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Services\CloudStorageService.cs", "C#", 0, -95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -101
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Services\DailycoService.cs", "C#", 0, -103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -108
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Services\EmailService.cs", "C#", 0, -45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -48
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Services\RecommendationService.cs", "C#", 0, -27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -32
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\AuctionRecommender.cs", "C#", 0, -132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32, -164
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\AuctionStatusChecker.cs", "C#", 0, -32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -38
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\ConfigOptions\GCSConfigOptions.cs", "C#", 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -12
